iter	Passed	Remaining
0	14	14604
1	31	15581
2	44	14705
3	53	13317
4	62	12526
5	71	11917
6	81	11586
7	91	11311
8	97	10718
9	107	10679
10	113	10225
11	121	10032
12	127	9709
13	136	9632
14	142	9364
15	148	9109
16	156	9049
17	162	8867
18	170	8784
19	175	8612
20	185	8628
21	193	8609
22	201	8565
23	208	8472
24	218	8538
25	225	8458
26	233	8416
27	238	8267
28	242	8118
29	247	8013
30	252	7892
31	256	7772
32	261	7652
33	266	7575
34	271	7472
35	275	7372
36	280	7310
37	286	7250
38	293	7236
39	304	7316
40	316	7393
41	322	7365
42	332	7408
43	338	7365
44	349	7408
45	355	7381
46	367	7446
47	374	7419
48	384	7453
49	391	7441
50	400	7452
51	405	7396
52	412	7368
53	417	7312
54	422	7266
55	429	7241
56	434	7196
57	440	7147
58	446	7128
59	452	7096
60	460	7085
61	467	7066
62	472	7026
63	480	7029
64	486	6999
65	494	6991
66	502	7001
67	509	6987
68	516	6972
69	521	6924
70	527	6898
71	532	6856
72	536	6810
73	542	6782
74	547	6755
75	552	6717
76	558	6690
77	563	6663
78	568	6626
79	574	6601
80	579	6570
81	583	6532
82	588	6503
83	593	6469
84	597	6431
85	601	6397
86	607	6372
87	612	6347
88	616	6313
89	621	6286
90	626	6256
91	630	6224
92	635	6193
93	641	6182
94	645	6153
95	650	6121
96	655	6099
97	660	6075
98	664	6048
99	669	6023
100	674	6000
101	678	5971
102	682	5946
103	687	5926
104	692	5900
105	696	5874
106	700	5849
107	706	5831
108	710	5806
109	714	5782
110	719	5766
111	725	5748
112	729	5724
113	733	5702
114	738	5683
115	743	5664
116	747	5641
117	753	5631
118	758	5614
119	762	5592
120	767	5578
121	772	5560
122	776	5537
123	781	5522
124	787	5513
125	792	5493
126	796	5474
127	802	5466
128	807	5451
129	811	5432
130	817	5420
131	822	5406
132	826	5388
133	831	5374
134	836	5361
135	841	5344
136	845	5325
137	851	5320
138	856	5302
139	860	5284
140	865	5272
141	870	5256
142	874	5240
143	878	5224
144	883	5212
145	888	5194
146	892	5178
147	897	5167
148	902	5152
149	906	5136
150	910	5121
151	916	5113
152	921	5100
153	925	5085
