iter	Logloss
0	0.6896265725
1	0.6856288839
2	0.6819087512
3	0.6789296895
4	0.6762372832
5	0.6727799637
6	0.6694290282
7	0.6664701125
8	0.6628650229
9	0.6593845086
10	0.6572518214
11	0.6535497824
12	0.6509614504
13	0.6474211013
14	0.6438944694
15	0.6409730552
16	0.6368388347
17	0.634645182
18	0.6316317707
19	0.62795269
20	0.6256871548
21	0.623807883
22	0.6208705302
23	0.6180647647
24	0.6147589049
25	0.6117825985
26	0.6089002796
27	0.6065937058
28	0.6034118187
29	0.6008502692
30	0.5986193153
31	0.5963727809
32	0.5930782563
33	0.5903110913
34	0.5876104431
35	0.5854814666
36	0.5827529412
37	0.5801661226
38	0.5777552273
39	0.5751697885
40	0.5731606872
41	0.5710068952
42	0.5687889984
43	0.5668461696
44	0.5647456195
45	0.5622402051
46	0.5596366584
47	0.5569129227
48	0.5547511269
49	0.5529818458
50	0.5510298922
51	0.5489230183
52	0.546716506
53	0.5439850397
54	0.5420688463
55	0.5399548156
56	0.5386042803
57	0.5365591055
58	0.5340519682
59	0.531641065
60	0.5290712757
61	0.5268927317
62	0.5247720442
63	0.5223117442
64	0.5204907828
65	0.5187524196
66	0.5167935728
67	0.5146790438
68	0.5126354935
69	0.5106856956
70	0.5087875464
71	0.5070401452
72	0.5051093933
73	0.50340351
74	0.5016950401
75	0.4991584883
76	0.4975815365
77	0.4955466984
78	0.4936579288
79	0.4922105806
80	0.4902607299
81	0.4885016588
82	0.4863611022
83	0.4843323735
84	0.4829528484
85	0.4813774955
86	0.4795300801
87	0.477031323
88	0.4747681914
89	0.4730557604
90	0.4713219896
91	0.4694857359
92	0.4677866358
93	0.4662198828
94	0.464320227
95	0.4622669963
96	0.4608597486
97	0.4587256873
98	0.4570400245
99	0.454861312
100	0.4534787485
101	0.4520211942
102	0.4503183164
103	0.4484913794
104	0.446256286
105	0.4441481728
106	0.442511063
107	0.4406741796
108	0.4385582611
109	0.4372655196
110	0.4353890071
111	0.433853734
112	0.4318832102
113	0.4303749972
114	0.4285447716
115	0.4268169841
116	0.4246561538
117	0.4228581301
118	0.4214340161
119	0.4200511183
120	0.4186337073
121	0.4167408778
122	0.4151410234
123	0.4138821891
124	0.4123901531
125	0.4111194679
126	0.4092463991
127	0.4079224593
128	0.4061643883
129	0.4049230688
130	0.4031344426
131	0.4019684666
132	0.400000072
133	0.398395743
134	0.3971006612
135	0.3961485868
136	0.394843094
137	0.3938992598
138	0.3926647101
139	0.3914224498
140	0.3900043343
141	0.3888877365
142	0.3874497988
143	0.3857156351
144	0.3840446458
145	0.3830199572
146	0.3812778614
147	0.3798779109
148	0.3787432561
149	0.3777298094
150	0.3761811134
151	0.3749106932
152	0.3736407987
153	0.372264754
154	0.3706898912
155	0.3693056268
156	0.3680694114
157	0.366725982
158	0.3653404763
159	0.3644701081
160	0.3632178515
161	0.3615954572
162	0.3602084719
163	0.3590434686
164	0.3576150493
165	0.3561948286
166	0.3549273872
167	0.353444759
168	0.3522808063
169	0.35112131
170	0.350161942
171	0.3489375114
172	0.3480271851
173	0.3469763387
174	0.345975804
175	0.3449814887
176	0.3438439793
177	0.3428032337
178	0.3419372698
179	0.3408798231
180	0.3394339454
181	0.3383457341
182	0.3375287164
183	0.3365052745
184	0.3353009601
185	0.3339342141
186	0.3330990335
187	0.3318980006
188	0.3309498785
189	0.3296183017
190	0.328609915
191	0.3277542548
192	0.3268999644
193	0.3256725985
194	0.3247069907
195	0.3238282372
196	0.3228185159
197	0.3213941379
198	0.3208288913
199	0.3196237062
200	0.3186230918
201	0.3173418426
202	0.3163065235
203	0.3151637808
204	0.3143216828
