iter	Passed	Remaining
418	2530	3508
419	2535	3501
420	2543	3497
421	2548	3490
422	2555	3485
423	2562	3481
424	2568	3474
425	2574	3469
426	2580	3463
427	2586	3456
428	2591	3449
429	2596	3442
430	2602	3436
431	2608	3429
432	2613	3422
433	2618	3414
434	2623	3408
435	2628	3400
436	2634	3394
437	2639	3387
438	2644	3379
439	2649	3371
440	2655	3365
441	2660	3358
442	2664	3350
443	2670	3344
444	2675	3336
445	2679	3328
446	2685	3322
447	2689	3314
448	2694	3306
449	2699	3299
450	2704	3291
451	2708	3283
452	2712	3275
453	2717	3268
454	2721	3259
455	2726	3252
456	2730	3244
457	2735	3237
458	2739	3229
459	2744	3221
460	2749	3214
461	2754	3207
462	2758	3199
463	2762	3191
464	2767	3184
465	2772	3177
466	2776	3168
467	2781	3161
468	2785	3153
469	2789	3145
470	2793	3137
471	2798	3130
472	2802	3121
473	2805	3113
474	2809	3105
475	2814	3098
476	2819	3091
477	2823	3083
478	2827	3075
479	2833	3070
480	2838	3062
481	2844	3057
482	2849	3050
483	2853	3042
484	2857	3034
485	2862	3027
486	2867	3020
487	2871	3012
488	2875	3004
489	2880	2997
490	2884	2990
491	2888	2982
492	2892	2974
493	2896	2966
494	2900	2959
495	2904	2951
496	2909	2944
497	2913	2937
498	2917	2929
499	2921	2921
500	2925	2914
501	2930	2907
502	2934	2899
503	2939	2892
504	2944	2886
505	2949	2879
506	2953	2872
507	2958	2865
508	2963	2858
509	2968	2852
510	2973	2845
511	2979	2839
512	2984	2832
513	2988	2825
514	3019	2843
515	3031	2843
516	3043	2843
517	3049	2837
518	3053	2830
519	3060	2825
520	3066	2819
521	3076	2816
522	3080	2809
523	3084	2802
524	3090	2795
525	3095	2789
526	3099	2781
527	3103	2774
528	3108	2767
529	3113	2760
530	3120	2756
531	3126	2750
532	3131	2743
533	3136	2736
534	3141	2730
535	3145	2722
536	3150	2716
537	3155	2710
538	3160	2703
539	3165	2696
540	3169	2689
541	3174	2682
542	3178	2675
543	3182	2667
544	3188	2661
545	3192	2654
546	3197	2647
547	3201	2640
548	3206	2633
549	3210	2626
550	3215	2620
551	3220	2613
552	3225	2607
553	3229	2600
554	3234	2593
555	3239	2587
556	3244	2580
557	3248	2573
558	3254	2567
559	3258	2560
560	3262	2552
561	3267	2546
562	3272	2539
563	3276	2532
564	3279	2525
565	3284	2518
566	3288	2511
567	3292	2504
568	3296	2496
569	3301	2490
570	3304	2483
571	3309	2476
572	3314	2469
573	3319	2463
574	3323	2456
575	3327	2449
576	3332	2443
577	3336	2436
578	3340	2429
579	3345	2422
580	3351	2417
581	3356	2410
582	3360	2403
583	3365	2397
584	3370	2391
585	3375	2384
586	3379	2377
587	3384	2371
588	3389	2365
589	3394	2358
590	3400	2353
591	3404	2346
592	3409	2339
593	3414	2333
594	3418	2326
595	3423	2320
596	3427	2313
597	3432	2307
598	3436	2300
599	3440	2293
600	3445	2287
601	3450	2280
602	3453	2273
603	3457	2266
604	3463	2260
605	3467	2254
606	3471	2247
607	3475	2240
608	3480	2234
609	3483	2227
610	3487	2220
611	3491	2213
612	3495	2207
613	3499	2200
614	3503	2193
615	3507	2186
616	3512	2180
617	3515	2173
618	3519	2166
619	3524	2159
620	3529	2154
621	3533	2147
622	3537	2140
623	3542	2134
624	3547	2128
625	3550	2121
626	3554	2114
627	3559	2108
628	3563	2102
629	3567	2095
630	3571	2088
631	3577	2082
632	3581	2076
633	3584	2069
634	3588	2062
635	3594	2057
636	3598	2050
637	3601	2043
638	3605	2037
639	3610	2030
640	3613	2024
641	3617	2017
642	3621	2010
643	3625	2004
644	3629	1997
645	3633	1991
646	3638	1985
647	3644	1979
648	3649	1973
649	3653	1967
650	3658	1961
651	3664	1955
652	3668	1949
653	3673	1943
654	3678	1937
655	3681	1930
656	3684	1923
657	3689	1917
658	3693	1910
659	3696	1904
660	3700	1897
661	3705	1891
662	3710	1886
663	3714	1879
664	3718	1873
665	3722	1866
666	3726	1860
667	3731	1854
668	3736	1848
669	3743	1843
670	3747	1837
671	3752	1831
672	3757	1825
673	3762	1819
674	3766	1813
675	3771	1807
676	3775	1801
677	3780	1795
678	3783	1788
679	3788	1783
680	3792	1776
681	3796	1770
682	3801	1764
683	3807	1758
684	3811	1752
685	3815	1746
686	3820	1740
687	3824	1734
688	3827	1727
689	3832	1721
690	3837	1715
691	3841	1709
692	3844	1703
693	3849	1697
694	3854	1691
695	3859	1685
696	3864	1680
697	3869	1674
698	3874	1668
699	3878	1662
700	3883	1656
701	3888	1650
702	3892	1644
703	3897	1638
704	3902	1633
705	3906	1626
706	3911	1620
707	3916	1615
708	3921	1609
709	3925	1603
710	3929	1597
711	3935	1591
712	3940	1586
713	3945	1580
714	3950	1574
715	3955	1568
716	3959	1562
717	3963	1556
718	3969	1551
719	3974	1545
720	3979	1540
721	3984	1534
722	3988	1528
723	3992	1522
724	3997	1516
725	4002	1510
726	4006	1504
727	4010	1498
728	4015	1492
729	4020	1486
730	4024	1481
731	4029	1475
732	4033	1469
733	4038	1463
734	4042	1457
735	4047	1451
736	4052	1445
737	4056	1440
738	4061	1434
739	4067	1429
740	4071	1423
741	4077	1417
742	4084	1412
743	4089	1407
744	4095	1401
745	4099	1395
746	4104	1390
747	4108	1384
748	4113	1378
749	4118	1372
750	4122	1366
751	4127	1361
752	4131	1355
753	4136	1349
754	4141	1343
755	4146	1338
756	4150	1332
757	4154	1326
758	4160	1320
759	4164	1315
760	4169	1309
761	4173	1303
762	4178	1298
763	4183	1292
764	4188	1286
765	4193	1280
766	4197	1275
767	4202	1269
768	4207	1263
769	4211	1257
770	4215	1252
771	4220	1246
772	4226	1241
773	4232	1235
774	4237	1230
775	4243	1224
776	4247	1219
777	4252	1213
778	4257	1207
779	4262	1202
780	4266	1196
781	4271	1190
782	4276	1185
783	4281	1179
784	4285	1173
785	4291	1168
786	4295	1162
787	4300	1156
788	4305	1151
789	4309	1145
790	4314	1139
791	4318	1134
792	4324	1128
793	4328	1122
794	4332	1117
795	4337	1111
796	4341	1105
797	4346	1100
798	4350	1094
799	4355	1088
800	4360	1083
801	4364	1077
802	4369	1072
803	4374	1066
804	4378	1060
805	4383	1055
806	4388	1049
807	4393	1043
808	4397	1038
809	4403	1032
810	4407	1027
811	4412	1021
812	4416	1015
813	4422	1010
814	4426	1004
815	4431	999
816	4436	993
817	4440	987
818	4444	982
819	4448	976
820	4452	970
821	4456	965
822	4460	959
823	4464	953
824	4468	947
825	4472	942
826	4476	936
827	4480	930
828	4485	925
829	4489	919
830	4493	913
831	4497	908
832	4501	902
833	4505	896
834	4509	891
835	4512	885
836	4518	879
837	4522	874
838	4525	868
839	4529	862
840	4535	857
841	4538	851
842	4542	846
843	4546	840
844	4551	834
845	4555	829
846	4559	823
847	4565	818
848	4570	812
849	4575	807
850	4578	801
851	4584	796
852	4589	790
853	4593	785
854	4598	779
855	4602	774
856	4606	768
857	4610	762
858	4616	757
859	4621	752
860	4625	746
861	4631	741
862	4635	735
863	4640	730
864	4644	724
865	4649	719
866	4654	714
867	4658	708
868	4663	703
869	4668	697
870	4673	692
871	4677	686
872	4682	681
873	4687	675
874	4691	670
875	4696	664
876	4701	659
877	4705	653
878	4710	648
879	4715	642
880	4719	637
881	4724	632
882	4729	626
883	4734	621
884	4738	615
885	4743	610
886	4748	604
887	4753	599
888	4757	594
889	4763	588
890	4768	583
891	4773	577
892	4778	572
893	4784	567
894	4788	561
895	4793	556
896	4799	551
897	4803	545
898	4807	540
899	4812	534
900	4817	529
901	4821	523
902	4826	518
903	4830	512
904	4834	507
905	4838	502
906	4842	496
907	4846	491
908	4850	485
909	4856	480
910	4860	474
911	4864	469
912	4868	463
913	4873	458
914	4877	453
915	4882	447
916	4886	442
917	4890	436
918	4894	431
919	4898	425
920	4903	420
921	4907	415
922	4912	409
923	4917	404
924	4921	399
925	4927	393
926	4932	388
927	4936	383
928	4940	377
929	4944	372
930	4948	366
931	4952	361
932	4956	355
933	4960	350
934	4964	345
935	4968	339
936	4972	334
937	4976	328
938	4980	323
939	4984	318
940	4988	312
941	4992	307
942	4997	302
943	5001	296
944	5005	291
945	5009	285
946	5013	280
947	5017	275
948	5021	269
949	5025	264
950	5029	259
951	5033	253
952	5037	248
953	5041	243
954	5045	237
955	5049	232
956	5055	227
957	5059	221
958	5063	216
959	5068	211
960	5072	205
961	5076	200
962	5080	195
963	5085	189
964	5089	184
965	5093	179
966	5097	173
967	5102	168
968	5105	163
969	5109	158
970	5113	152
971	5119	147
972	5123	142
973	5127	136
974	5132	131
975	5137	126
976	5142	121
977	5146	115
978	5151	110
979	5155	105
980	5159	99
981	5163	94
982	5168	89
983	5172	84
984	5177	78
985	5182	73
986	5186	68
987	5192	63
988	5197	57
989	5202	52
990	5207	47
991	5211	42
992	5216	36
993	5220	31
994	5224	26
995	5228	20
996	5233	15
997	5237	10
998	5241	5
999	5246	0
