iter	Passed	Remaining
0	6	6733
1	12	6126
2	16	5446
3	21	5267
4	26	5240
5	30	5038
6	34	4886
7	40	4987
8	44	4929
9	48	4833
10	53	4797
11	57	4767
12	61	4701
13	65	4633
14	71	4669
15	76	4686
16	81	4700
17	85	4682
18	89	4643
19	94	4625
20	97	4563
21	103	4584
22	107	4564
23	112	4570
24	116	4530
25	121	4550
26	126	4557
27	131	4551
28	136	4568
29	141	4574
30	146	4574
31	151	4595
32	156	4583
33	161	4574
34	165	4558
35	170	4556
36	175	4563
37	178	4530
38	183	4530
39	188	4513
40	194	4557
41	200	4574
42	205	4574
43	209	4542
44	212	4511
45	218	4525
46	221	4498
47	225	4466
48	228	4436
49	233	4440
50	237	4418
51	240	4391
52	244	4368
53	249	4366
54	253	4348
55	256	4324
56	259	4301
57	264	4288
58	268	4280
59	271	4259
60	275	4243
61	279	4231
62	284	4227
63	287	4207
64	291	4189
65	295	4179
66	299	4177
67	303	4163
68	307	4145
69	311	4134
70	315	4130
71	319	4114
72	322	4096
73	326	4080
74	332	4096
75	337	4100
76	343	4119
77	347	4102
78	350	4086
79	354	4071
80	358	4070
81	362	4056
82	365	4040
83	369	4026
84	373	4022
85	377	4017
86	381	4006
87	385	3991
88	390	3993
89	394	3988
90	398	3976
91	401	3962
92	406	3963
93	410	3957
94	414	3944
95	417	3934
96	422	3933
97	426	3929
98	430	3918
99	434	3910
100	439	3907
101	443	3904
102	447	3893
103	450	3882
104	455	3879
105	458	3867
106	462	3855
107	465	3848
108	471	3851
109	474	3840
110	477	3827
111	482	3825
112	488	3830
113	491	3820
114	495	3810
115	500	3810
116	505	3816
117	510	3817
118	515	3815
119	521	3825
120	528	3841
121	534	3843
122	538	3842
123	543	3841
124	547	3833
125	553	3839
126	558	3837
127	562	3830
128	566	3825
129	570	3821
130	575	3818
131	579	3809
132	584	3809
133	588	3804
134	593	3803
135	599	3808
136	603	3804
137	608	3800
138	612	3794
139	618	3797
140	622	3794
141	627	3793
142	634	3805
143	639	3801
144	643	3797
145	654	3828
146	667	3873
147	675	3890
148	683	3905
149	690	3911
150	698	3927
151	705	3937
152	711	3940
153	719	3953
154	725	3954
155	732	3961
156	737	3959
157	742	3957
158	749	3962
159	754	3959
160	759	3956
161	767	3972
162	772	3969
163	778	3970
164	783	3964
165	788	3960
166	793	3956
167	799	3957
168	803	3952
169	808	3948
170	815	3953
171	820	3950
172	824	3943
173	832	3949
174	837	3948
175	846	3961
176	851	3958
177	856	3956
178	865	3968
179	871	3968
180	878	3973
181	882	3966
182	886	3959
183	891	3951
184	895	3946
185	899	3936
186	902	3924
