iter	Logloss
0	0.6867653983
1	0.6809927804
2	0.6763895852
3	0.6700249808
4	0.6649892535
5	0.6596664429
6	0.6530786787
7	0.6481934139
8	0.6416910444
9	0.6372193473
10	0.6308153425
11	0.6259052822
12	0.6209997995
13	0.6169094631
14	0.6115632193
15	0.6070397513
16	0.6028937749
17	0.5976793562
18	0.592036874
19	0.5868299212
20	0.5823582241
21	0.5781279428
22	0.5742838723
23	0.5687723432
24	0.5649520874
25	0.5607809339
26	0.5562523978
27	0.5515107836
28	0.5472842625
29	0.5434756688
30	0.5393223354
31	0.535660117
32	0.5323306492
33	0.5280122484
34	0.5243481227
35	0.52033735
36	0.5161314283
37	0.5124222892
38	0.5089266096
39	0.5051079886
40	0.5013772147
41	0.4977977208
42	0.4943888528
43	0.4913156237
44	0.4886993408
45	0.485294996
46	0.4813438416
47	0.4784871783
48	0.4742043631
49	0.4712523324
50	0.4674075535
51	0.463973999
52	0.4603933062
53	0.4577028002
54	0.4548174177
55	0.4522129876
56	0.449180603
57	0.4463761193
58	0.4437591008
59	0.4411046709
60	0.4376823153
61	0.4345938001
62	0.4317921775
63	0.4286113739
64	0.4259577615
65	0.4230206081
66	0.4205415453
67	0.4183064325
68	0.4158202035
69	0.4135199411
70	0.4109377997
71	0.4078164509
72	0.405708749
73	0.403206907
74	0.4006432942
75	0.3975588662
76	0.3951519557
77	0.393025044
78	0.3898983002
79	0.38764534
80	0.3849627359
81	0.38324149
82	0.380921936
83	0.3789044516
84	0.3764004299
85	0.374530874
86	0.3725284849
87	0.3699668339
88	0.3685322898
89	0.3667517798
90	0.3649729592
91	0.3632305963
92	0.3611999784
93	0.3588122777
94	0.3573909215
95	0.3552829742
96	0.3526875905
97	0.3512729372
98	0.3491389138
99	0.3473874228
100	0.3453397478
101	0.343799809
102	0.3415115901
103	0.3396553857
104	0.3380245481
105	0.3360050474
106	0.3344352722
107	0.3324957439
108	0.3309108189
109	0.329507855
110	0.3276724679
111	0.3260541643
112	0.3240693774
113	0.3220932552
114	0.3208323615
115	0.3190924508
116	0.3173446383
117	0.3158762251
118	0.3143357686
119	0.3130914961
120	0.311599459
121	0.3100275857
122	0.3083329882
123	0.3068627221
124	0.3057444164
125	0.3042458126
126	0.3023660115
127	0.3007984434
128	0.2996307646
129	0.2981110982
130	0.2965811866
131	0.2950981413
132	0.2938910621
133	0.292744909
134	0.2913050515
135	0.2898257937
136	0.2883149828
