iter	Logloss
0	0.5900560194
1	0.5316877057
2	0.4556397776
3	0.415207586
4	0.3743653451
5	0.3381506089
6	0.3062263612
7	0.2869606018
8	0.2683242675
9	0.2448247786
10	0.2273493121
11	0.2150841375
12	0.2022046581
13	0.1940699854
14	0.1828001392
15	0.1773874837
16	0.1706873832
17	0.1580956982
18	0.1528526737
19	0.1470876663
20	0.1391891356
21	0.1336142325
22	0.1275083327
23	0.1217537465
24	0.1173707747
25	0.1152434195
26	0.1124352024
27	0.106954713
28	0.1002864145
29	0.09695520709
30	0.09276308552
31	0.08949495131
32	0.08626018032
33	0.08280538744
34	0.07861039715
35	0.07687071831
36	0.0746851275
37	0.07295818483
38	0.0705446351
39	0.06798414261
40	0.06639369842
41	0.06504394162
42	0.06220825641
43	0.06058165719
44	0.05873941222
45	0.05664179787
46	0.05565494876
47	0.05381815664
48	0.05193077749
49	0.05114623424
50	0.05045691613
51	0.04875157725
52	0.04783637677
53	0.04643658669
54	0.0447862379
55	0.04347836587
56	0.0425118131
57	0.04137056489
58	0.04036693035
59	0.03917023828
60	0.03776361865
61	0.0363934963
62	0.03560991441
63	0.03461487063
64	0.03364836401
65	0.03324114892
66	0.03249504874
