iter	RMSE
269	0.1700337526
270	0.1699541532
271	0.1697991151
272	0.1697037841
273	0.1696276968
274	0.1695105689
275	0.1693580551
276	0.1692364535
277	0.1691120989
278	0.1690857919
279	0.1689473945
280	0.168885557
281	0.1687493564
282	0.168587428
283	0.1685173083
284	0.1683367817
285	0.1681997547
286	0.1680203006
287	0.1678684781
288	0.1677696894
289	0.1676562776
290	0.1675965589
291	0.1674961547
292	0.167425745
293	0.1673518062
294	0.1672366492
295	0.1671747084
296	0.1671080703
297	0.1669678035
298	0.1668825524
299	0.1667449327
300	0.1666238318
301	0.1665050845
302	0.1663750075
303	0.1662380624
304	0.1661374878
305	0.1660209652
306	0.1658842169
307	0.1658155539
308	0.1656823688
309	0.1656282585
310	0.1655559258
311	0.1654868593
312	0.165401788
313	0.1652960357
314	0.1652311553
315	0.1650880237
316	0.1650840865
317	0.1650661234
318	0.1649024214
319	0.1648985307
320	0.1647988536
321	0.164691769
322	0.164530152
323	0.1644729418
324	0.1643396746
325	0.1642635025
326	0.164141879
327	0.1641339738
328	0.1640296756
329	0.163902701
330	0.1637995565
331	0.1636630917
332	0.1635879834
333	0.1634848455
334	0.1634299311
335	0.1633209792
336	0.1632360737
337	0.1631411057
338	0.163000326
339	0.1628876636
340	0.1628452567
341	0.162769518
342	0.1627010146
343	0.1626051626
344	0.1624999086
345	0.1624236466
346	0.1623425443
347	0.1622813163
348	0.1622003041
349	0.1621160628
350	0.1620349521
351	0.1619762725
352	0.1619186746
353	0.161796438
354	0.1617509725
355	0.1616778861
356	0.1616177918
357	0.1615280501
358	0.1614774098
359	0.1613506068
360	0.1613454677
361	0.1612434729
362	0.1611820874
363	0.1610436919
364	0.1609979719
365	0.1609250297
366	0.1608436498
367	0.1608120614
368	0.160749695
369	0.160746728
370	0.1606986454
371	0.1606298167
372	0.1605459707
373	0.1604320612
374	0.1603648551
375	0.160354745
376	0.1602654143
377	0.1601724869
378	0.1601105923
379	0.1599806603
380	0.159898371
381	0.1598375892
382	0.1597615387
383	0.1597082568
384	0.1596149609
385	0.1595436598
386	0.159455876
387	0.1593969276
388	0.159325323
389	0.1592876883
390	0.1592119871
391	0.1591481324
392	0.1590807092
393	0.1590250876
394	0.1589418668
395	0.1588709592
396	0.15880426
397	0.1587338377
398	0.1586692441
399	0.1585622717
400	0.1584754117
401	0.1584217011
402	0.1583213403
403	0.1582769351
404	0.1582247356
405	0.1581873114
406	0.1581205491
407	0.1580795667
408	0.158031887
409	0.1579946242
410	0.1579039032
411	0.1578491865
412	0.157782453
413	0.1576639347
414	0.1575956185
415	0.1575540721
416	0.1574791045
417	0.1573983756
418	0.1573341355
419	0.157330935
420	0.1573274852
421	0.1572705861
422	0.1572212376
423	0.1571382686
424	0.1570447816
425	0.1569871077
426	0.1568765964
427	0.1568351501
428	0.1567782445
429	0.1566767273
430	0.1565818591
431	0.1565000724
432	0.1564335607
433	0.1563720582
434	0.1563237012
435	0.1562500158
436	0.1562028856
437	0.1561271922
438	0.1561247721
439	0.1560624884
440	0.1560217162
441	0.1559581953
442	0.155914482
443	0.1558463118
444	0.1557868833
445	0.1557200473
446	0.1556556538
447	0.1555710691
448	0.1555583598
449	0.1554943458
450	0.1554486367
451	0.155415325
452	0.1553787614
453	0.1552843082
454	0.1552353129
455	0.1552070078
456	0.1551415381
457	0.1550717713
458	0.1550073464
459	0.154972822
460	0.1549005774
461	0.1548395171
462	0.1547691882
463	0.1547543107
464	0.1547036189
465	0.1546223913
466	0.154505056
467	0.1544735074
468	0.1544035524
469	0.1543526412
470	0.154272715
471	0.1542439857
472	0.154129021
473	0.1540261589
474	0.153938249
475	0.1539032119
476	0.1538721805
477	0.1537712632
478	0.1537448545
479	0.1536845494
480	0.1536522328
481	0.1535818114
482	0.1535337108
483	0.1534892444
484	0.1534119262
485	0.153341473
486	0.1532754774
487	0.1532096896
488	0.153171031
489	0.1531098136
490	0.1530310068
491	0.1529914582
492	0.1529514144
493	0.1529011009
494	0.1528633521
495	0.1528370615
496	0.1527482183
497	0.1526813902
498	0.1526579435
499	0.1525963701
500	0.1525752831
501	0.1524306932
502	0.152383957
503	0.1523254732
504	0.1522284939
505	0.1521735035
506	0.1521419084
507	0.1520415577
508	0.152039321
509	0.1519481394
510	0.1519444781
511	0.151885707
512	0.1518286651
513	0.1517833115
514	0.151714476
515	0.1516545775
516	0.1515957087
517	0.1515360315
518	0.1515072793
519	0.1514750931
520	0.1514581929
521	0.151393838
522	0.1513289197
523	0.1512660969
524	0.1511913638
525	0.1511155912
526	0.1510691995
527	0.1509324177
528	0.1509050264
529	0.1508574353
530	0.1508171975
531	0.1507902116
532	0.1507543097
533	0.1507232127
534	0.1506854516
535	0.1506087691
536	0.1505434635
537	0.1504744094
538	0.1504304772
539	0.150369384
540	0.1503008566
541	0.150243284
542	0.1501563981
543	0.1500692341
544	0.150001736
545	0.1499573391
546	0.1498869888
547	0.1498279557
548	0.149758607
549	0.1497179141
550	0.1496425079
551	0.149585934
552	0.1495549443
553	0.1495200616
554	0.1494582358
555	0.1494021066
556	0.1493515789
557	0.1492694873
558	0.1492552975
559	0.1492165337
560	0.1491874959
561	0.1491651815
562	0.1491191603
563	0.1490885041
564	0.1490412525
565	0.1489682209
566	0.1489224074
567	0.1488745415
568	0.1488121896
569	0.1487619023
570	0.1486973408
571	0.1486493938
572	0.148579863
573	0.1485266007
574	0.1484749437
575	0.1484735611
576	0.1484229433
577	0.1484149002
578	0.1483439525
579	0.1482887647
580	0.1482865973
581	0.1482484575
582	0.1482088426
583	0.1481549273
584	0.1481091313
585	0.1480771637
586	0.1480314454
587	0.1480143338
588	0.1479967267
589	0.1479857694
590	0.1479829602
591	0.1479221278
592	0.1478475084
593	0.1478184782
594	0.147817662
595	0.1477852981
596	0.1477238682
597	0.1476706668
598	0.1476320421
599	0.1475597853
600	0.147516989
601	0.1474649393
602	0.147398845
603	0.1473429246
604	0.147316513
605	0.1472654943
606	0.1472201251
607	0.1471810591
608	0.1471374232
609	0.1470981957
610	0.1470099667
611	0.1469450975
612	0.1468816128
613	0.1468224607
614	0.14676193
615	0.1467296411
616	0.1466573239
617	0.1466282698
618	0.1466128218
619	0.1465659544
620	0.1465643126
621	0.146521312
622	0.1464717659
623	0.1464645889
624	0.1464227257
625	0.1464176038
626	0.1463763093
627	0.1463631856
628	0.1462979752
629	0.1462656617
630	0.1462539357
631	0.1461376987
632	0.1460984192
633	0.146032274
634	0.1459275681
635	0.1458871595
636	0.1458550034
637	0.1458384787
638	0.145827771
639	0.1457706082
640	0.1457201644
641	0.1456731561
642	0.1456298717
643	0.1456251641
644	0.1456035201
645	0.1456012306
646	0.1455824214
647	0.145535006
648	0.1454916384
649	0.1454693257
650	0.1454403414
651	0.1453909108
652	0.1453530521
653	0.1453385086
654	0.1453166429
655	0.1452521565
656	0.1452094287
657	0.1451727104
658	0.1451466509
659	0.1451197932
660	0.1450742727
661	0.1450246758
662	0.1449984687
663	0.1449408082
664	0.1448954647
665	0.1448748074
666	0.1448167495
667	0.1447959019
668	0.144738555
669	0.144689153
670	0.1446263069
671	0.1445995252
672	0.1445451298
673	0.144451339
674	0.14444806
675	0.1444359584
676	0.1444006199
677	0.1442582875
678	0.1442228718
679	0.1441444166
680	0.144125339
681	0.144097554
682	0.1440635174
683	0.1440407098
684	0.1440390065
685	0.1439998537
686	0.1439588917
687	0.1439053433
688	0.143859924
689	0.1438479661
690	0.1438138589
691	0.1437715751
692	0.1437393638
693	0.1437080301
694	0.1436371457
695	0.1436366381
696	0.1436313969
697	0.1436119682
698	0.1435646139
699	0.1434956655
700	0.1434463649
701	0.1433932547
702	0.1433586891
703	0.1433166053
704	0.1432441321
705	0.1431820717
706	0.1431808575
707	0.1431506831
708	0.1430828997
709	0.1430409524
710	0.1430015569
711	0.1429561437
712	0.1428692649
713	0.1428238622
714	0.1427653062
715	0.1427269825
716	0.1427042596
717	0.1426290997
718	0.1425728386
719	0.1425175045
720	0.1424881355
721	0.1424875968
722	0.1424298468
723	0.1423694201
724	0.1423421088
725	0.1423321906
726	0.1422519942
727	0.1421843715
728	0.1421492442
729	0.14210473
730	0.1421042757
731	0.1420547774
732	0.1420195299
733	0.1420191097
734	0.1419640219
735	0.1418924741
736	0.1418427077
737	0.1418053908
738	0.1417686378
739	0.1417184175
740	0.1417180394
741	0.141682448
742	0.1416324914
743	0.1415855519
744	0.1415374441
745	0.1414874099
746	0.1414552591
747	0.1414232243
748	0.1413732429
749	0.1413346437
750	0.1412811506
751	0.1412770429
752	0.1411996215
753	0.1411495191
754	0.1411089873
755	0.1410762362
756	0.1410655763
757	0.1410074314
758	0.1409430813
759	0.1409112151
760	0.1408529567
761	0.1408473129
762	0.1408193959
763	0.1407735679
764	0.1407592176
765	0.1406929919
766	0.1406820695
767	0.1406105205
768	0.1405777007
769	0.140528468
770	0.1404929744
771	0.140448551
772	0.1404117467
773	0.1403800706
774	0.1403573764
775	0.1403379606
776	0.1403055293
777	0.1402872287
778	0.1402513366
779	0.1401750395
780	0.1401550975
781	0.1401077473
782	0.1400590879
783	0.1400176242
784	0.139995914
785	0.1399432315
786	0.1399207621
787	0.1398858471
788	0.1398499757
789	0.1397735692
790	0.1397442061
791	0.1396899177
792	0.1396333265
793	0.139595389
794	0.1395506047
795	0.1395321046
796	0.1394952798
797	0.1394646695
798	0.1394371997
799	0.1393924104
800	0.1393532073
801	0.1393245641
802	0.1392870139
803	0.1392609072
804	0.139228282
805	0.1392014989
806	0.1391626749
807	0.1391464313
808	0.1391020147
809	0.1390808276
810	0.1390310825
811	0.1390073609
812	0.1389696906
813	0.1388949299
814	0.1388665337
815	0.138840445
816	0.1388395692
817	0.1388077357
818	0.1387749734
819	0.1387315674
820	0.1386722287
821	0.138623409
822	0.1386019707
823	0.1385657006
824	0.1385436469
825	0.1384692243
826	0.1384198594
827	0.1383693429
828	0.1382990335
829	0.1382652007
830	0.1382584303
831	0.1382245987
832	0.1381855569
833	0.1381850623
834	0.1381492563
835	0.1381152918
836	0.1380886762
837	0.138037317
838	0.1380000272
839	0.1379503642
840	0.1379094186
841	0.1379022115
842	0.1378671527
843	0.1378665879
844	0.1378312015
845	0.1377906155
846	0.1377355752
847	0.137718042
848	0.1376719827
849	0.1376391076
850	0.1376054273
851	0.1375577546
852	0.1375565008
853	0.1375211234
854	0.1374634568
855	0.1374165976
856	0.1373731893
857	0.1373441149
858	0.137322701
859	0.1372938379
860	0.1372376663
861	0.1372146778
862	0.1371857381
863	0.1371195005
864	0.137056948
865	0.1369909581
866	0.1369513583
867	0.1368997551
868	0.136857249
869	0.1368119943
870	0.1367700358
871	0.1367271412
872	0.1366995003
873	0.1366622913
874	0.1365992906
875	0.1365646896
876	0.1365477083
877	0.1365166483
878	0.1364770889
879	0.136435275
880	0.1363885618
881	0.1363755015
882	0.1363681835
883	0.1363173292
884	0.1362851527
885	0.1362527348
886	0.1362101895
887	0.1361738691
888	0.1361281187
889	0.1360809776
890	0.1360804453
891	0.1360781981
892	0.136035134
893	0.1360048415
894	0.1359703952
895	0.1359587624
896	0.1359235264
897	0.1359007961
898	0.1358722646
899	0.135812921
900	0.1357844958
901	0.1357499418
902	0.135714867
903	0.1356768944
904	0.1356284829
905	0.1355960147
906	0.1355579554
907	0.1355111375
908	0.13545823
909	0.1354185019
910	0.1354072814
911	0.1353318517
912	0.1353313919
913	0.1352773027
914	0.1352545818
915	0.1352542805
916	0.1352146192
917	0.1351816864
918	0.1351567795
919	0.1351345272
920	0.1350824528
921	0.135082034
922	0.1350388488
923	0.1349731283
924	0.1349403938
925	0.134901219
926	0.1348471444
927	0.1348298713
928	0.134797459
929	0.1347660941
930	0.134729106
931	0.1346846194
932	0.1346737644
933	0.1346559765
934	0.134655749
935	0.1346299287
936	0.1345946404
937	0.1345488588
938	0.1345068329
939	0.1344658141
940	0.1344337774
941	0.1343681713
942	0.1343330188
943	0.1342824816
944	0.1342576673
945	0.1342348382
946	0.1341767308
947	0.1341300302
948	0.1341151296
949	0.1340583804
950	0.1340284948
951	0.1339839753
952	0.1339404271
953	0.1339107651
954	0.133882229
955	0.1338427519
956	0.1338287014
957	0.1338015681
958	0.1337845314
959	0.1337538528
960	0.1337004504
961	0.1336684542
962	0.1336065981
963	0.1335809123
964	0.133547924
965	0.1335246679
966	0.1334920613
967	0.1334917569
968	0.1334485727
969	0.133429756
970	0.1334294944
971	0.1334211992
972	0.133387764
973	0.1333508924
974	0.1333117109
975	0.1332856116
976	0.1332394342
977	0.1331923657
978	0.1331695035
979	0.133138187
980	0.1330653443
981	0.1330295704
982	0.1330245702
983	0.1329895797
984	0.1329446522
985	0.1329146085
986	0.1328897185
987	0.1328607395
988	0.1327931755
989	0.1327579715
990	0.1327405834
991	0.1327148
992	0.132714182
993	0.1326697343
994	0.1326545935
995	0.1325955156
996	0.1325587871
997	0.1325416501
998	0.1325414505
999	0.1325068561
