iter	Passed	Remaining
0	4	4256
1	8	4406
2	13	4348
3	17	4255
4	20	4166
5	25	4175
6	29	4208
7	33	4096
8	36	4001
9	39	3931
10	43	3901
11	46	3839
12	50	3804
13	53	3745
14	56	3687
15	59	3677
16	62	3631
17	65	3588
18	68	3546
19	71	3511
20	74	3481
21	77	3457
22	81	3448
23	84	3423
24	87	3403
25	90	3380
26	93	3370
27	96	3346
28	99	3325
29	102	3302
30	104	3279
31	108	3278
32	111	3267
33	114	3255
34	117	3244
35	120	3229
36	123	3221
37	126	3213
38	129	3198
39	132	3182
40	135	3167
41	138	3157
42	142	3163
43	144	3149
44	147	3138
45	150	3123
46	153	3109
47	157	3132
48	160	3121
49	163	3109
50	166	3095
51	169	3084
52	172	3083
53	175	3073
54	178	3062
55	181	3052
56	183	3044
57	187	3046
58	191	3054
59	194	3049
60	197	3040
61	200	3032
62	203	3032
63	207	3032
64	210	3023
65	212	3014
66	215	3007
67	219	3007
68	222	3007
69	225	2997
70	228	2987
71	231	2980
72	234	2973
73	237	2971
74	240	2965
75	243	2958
76	246	2952
77	249	2945
78	252	2942
79	255	2941
80	258	2935
81	261	2926
82	264	2920
83	267	2912
84	271	2917
85	274	2917
86	278	2920
87	281	2918
88	285	2919
89	289	2923
90	292	2918
91	295	2914
92	299	2916
93	303	2925
94	307	2924
95	310	2928
96	314	2923
97	319	2936
98	322	2939
99	327	2946
100	333	2964
101	338	2976
102	342	2979
103	347	2993
104	353	3009
105	357	3012
106	360	3011
107	362	2998
108	368	3009
109	372	3011
110	376	3011
111	378	3002
112	382	3005
113	387	3011
114	391	3013
115	394	3007
116	398	3008
117	402	3010
118	406	3007
119	409	3001
120	412	2996
121	417	3004
122	420	3000
123	422	2987
124	426	2982
125	429	2979
126	434	2984
127	437	2983
128	441	2979
129	445	2981
130	449	2982
131	453	2981
132	457	2983
133	462	2992
134	473	3032
135	484	3080
136	493	3109
137	503	3142
138	509	3158
139	515	3164
140	521	3175
141	525	3176
142	539	3236
143	544	3238
144	549	3237
145	552	3229
146	555	3222
147	559	3218
148	564	3223
149	567	3217
150	571	3212
151	574	3207
152	579	3210
153	583	3203
154	586	3197
155	590	3192
156	594	3194
157	598	3189
158	601	3183
159	605	3177
160	608	3172
161	612	3169
162	615	3162
163	619	3156
164	622	3150
165	627	3151
166	630	3143
167	634	3140
168	637	3136
169	641	3133
170	645	3130
171	649	3128
172	654	3126
173	660	3133
174	663	3129
175	667	3127
176	671	3122
177	677	3129
178	681	3125
179	684	3118
180	687	3111
181	693	3116
182	697	3113
183	700	3106
184	703	3100
185	708	3100
186	712	3098
187	715	3091
188	718	3084
189	722	3079
190	726	3077
191	729	3069
192	732	3062
193	734	3053
194	738	3050
195	742	3045
196	745	3037
197	748	3030
198	751	3023
199	754	3019
200	757	3012
201	760	3005
202	763	2997
203	766	2990
204	769	2984
205	773	2981
206	776	2974
207	779	2967
208	782	2961
209	785	2955
210	789	2952
211	792	2945
212	795	2938
213	798	2933
214	802	2930
215	805	2924
216	808	2918
217	811	2911
218	814	2905
219	819	2904
220	822	2900
221	825	2894
222	829	2891
223	832	2885
224	836	2882
225	839	2875
226	842	2869
227	845	2863
228	848	2856
229	852	2854
230	855	2847
231	858	2841
232	861	2835
233	864	2829
234	868	2826
235	871	2820
236	874	2814
237	877	2808
238	880	2802
239	883	2797
240	886	2793
241	890	2788
242	893	2782
243	896	2777
244	900	2776
245	904	2772
246	907	2767
247	910	2761
248	913	2756
249	918	2755
250	921	2750
251	924	2745
252	928	2740
253	932	2737
254	935	2734
255	939	2731
256	942	2725
257	945	2719
258	949	2717
259	953	2713
260	956	2708
261	959	2703
262	963	2698
263	967	2698
264	970	2692
265	973	2687
266	976	2682
267	980	2679
268	984	2675
269	987	2670
270	990	2665
271	993	2659
272	997	2657
273	1001	2652
274	1004	2647
275	1007	2642
276	1010	2637
277	1015	2636
278	1018	2631
279	1021	2626
280	1024	2621
281	1028	2617
282	1031	2614
283	1034	2608
284	1038	2604
285	1041	2599
286	1045	2597
287	1049	2593
288	1052	2589
289	1055	2585
290	1058	2580
291	1063	2578
292	1066	2572
293	1069	2567
294	1072	2563
295	1075	2558
296	1079	2555
297	1083	2552
298	1087	2549
299	1090	2545
300	1095	2544
301	1098	2539
302	1102	2534
303	1105	2530
304	1107	2524
305	1112	2522
306	1114	2516
307	1117	2511
308	1120	2506
309	1123	2500
310	1127	2497
311	1130	2492
312	1133	2487
313	1136	2482
314	1139	2477
315	1143	2474
316	1145	2468
317	1148	2463
318	1151	2458
319	1154	2452
320	1157	2447
321	1160	2443
322	1163	2438
323	1166	2433
324	1169	2428
325	1172	2423
326	1175	2420
327	1179	2415
328	1181	2410
329	1184	2405
330	1187	2400
331	1191	2398
332	1194	2393
333	1197	2388
334	1200	2383
335	1203	2378
336	1207	2375
337	1210	2371
338	1214	2368
339	1217	2363
340	1220	2358
341	1224	2355
342	1227	2350
343	1230	2346
344	1233	2341
345	1236	2336
346	1239	2333
347	1242	2328
348	1245	2323
349	1248	2318
350	1251	2313
351	1254	2309
352	1257	2305
353	1260	2300
354	1263	2295
355	1265	2290
356	1268	2285
357	1272	2281
358	1275	2276
359	1277	2271
360	1280	2266
361	1284	2262
362	1288	2261
363	1291	2256
364	1294	2251
365	1297	2247
366	1302	2245
367	1306	2244
368	1310	2240
369	1312	2235
370	1315	2230
371	1318	2226
372	1322	2222
373	1325	2217
374	1327	2213
375	1330	2208
376	1333	2204
377	1337	2201
378	1340	2196
379	1343	2191
380	1346	2187
381	1349	2182
382	1353	2180
383	1356	2176
384	1359	2171
385	1362	2167
386	1365	2163
387	1369	2160
388	1372	2156
389	1375	2151
390	1378	2146
391	1381	2142
392	1385	2139
393	1389	2137
394	1393	2134
395	1397	2131
396	1401	2128
397	1405	2125
398	1408	2121
399	1412	2118
400	1416	2115
401	1419	2111
402	1422	2107
403	1425	2103
404	1428	2099
405	1432	2096
406	1436	2092
407	1439	2088
408	1442	2084
409	1445	2080
410	1449	2077
411	1453	2073
412	1456	2069
413	1459	2065
414	1463	2062
415	1466	2058
416	1469	2054
417	1472	2050
418	1475	2045
419	1478	2041
420	1481	2037
421	1485	2034
422	1488	2030
423	1491	2026
424	1495	2023
425	1499	2019
426	1502	2016
427	1506	2012
428	1509	2009
429	1513	2006
430	1517	2003
431	1520	1999
432	1523	1995
433	1527	1992
434	1531	1988
435	1534	1984
436	1537	1980
437	1540	1977
438	1544	1973
439	1547	1969
440	1550	1965
441	1553	1961
442	1557	1958
443	1561	1955
444	1564	1951
445	1567	1947
446	1570	1943
447	1573	1939
448	1577	1935
449	1580	1931
450	1583	1927
451	1587	1924
452	1590	1920
453	1594	1918
454	1598	1914
455	1600	1909
456	1603	1905
457	1606	1901
458	1611	1898
459	1614	1894
460	1617	1891
461	1620	1886
462	1623	1882
463	1627	1880
464	1631	1876
465	1634	1872
